LI150	LI97	DCM_101	LI81	LI126	LI138	LI101	LI144	LI134	LI112	LI54	LI132	LI91	LI105	LI107	LI104	LI110	LI106	LI119	LI46	LI113	LI48	LI56	LI90	LI148	LI94	LI135	LI146	LI152	LI147	LI153	LI122	LI98	LI151	LI140	LI142	LI123	LI69	LI128	LI89	LI130	LI139	LI125	LI83	LI116	LI82	LI73	LI18	LI6	LI40	LI34	LI72	LI70	LI8	LI84	LI102	LI86	LI114	DCM_76	LI36	LI75	LI71	LI85	LI115	LI87	LI66	LI27	LI79	LI67	LI32	LI19	LI12	LI4	LI141	LI145	LI133	LI131	LI95	LI68	LI10	LI26	LI1	LI15	LI111	LI74	LI22	LI178	LI7	LI13	LI25	LI14	LI42	LI28	LI93	DCM_026	LI96	LI124	LI136	LI92	LI127	LI59	LI129	LI44	LI35	LI31	LI29	LI37	LI38	LI24	LI39																																																																																																														
RT	area																																																																																																																																																																																																																										
6.604	614.5	6.597	1582.7	22.886	906.6	6.599	1409	6.598	1055.8	6.602	1167.4	22.626	510.2	6.601	580.9	6.600	628.2	9.443	12054.2	12.019	1394.6	22.686	557.9	4.089	567.6	4.087	625.9	9.444	6734.6	9.446	5579.3	9.446	4215.7	9.446	11878.2	4.090	603.1	9.972	2875.2	6.601	571.5	6.601	719.9	9.978	1452.4	6.600	1106.9	10.693	725.1	14.005	575.5	6.599	1564.3	6.596	675	5.077	547.3	9.445	861.8	6.594	1171.7	9.446	818.6	12.112	1028.8	6.600	1381.7	9.449	726.1	6.602	1251.3	10.696	701.9	22.952	1199	14.013	997.3	4.086	501.5	9.454	1802.4	9.454	1665.6	6.599	581.3	8.540	530.2	9.452	7531.4	6.609	502.3	9.979	2839.8	10.013	774.7	9.989	1215	9.981	1840.3	12.140	1481.1	9.995	1051.7	4.086	504.5	10.003	613.6	12.031	620.2	14.809	799.8	13.338	917.9	10.702	821.6	11.681	827.1	9.984	1262.5	9.981	1806.7	10.008	716	9.984	1638.2	9.452	7181.3	4.075	519.5	9.993	759.2	12.031	873.6	15.592	764.9	22.595	558.1	22.942	944.9	22.868	648.3	9.995	831.4	22.889	544.6	14.808	1619.2	6.606	581	6.608	797.1	12.081	1140.6	10.772	1867.8	8.555	532.4	17.422	554.1	13.342	638.7	22.526	502	9.986	2197	11.683	509.7	6.606	522.4	12.134	1248.1	9.993	1090.9	14.814	714.9	16.514	576.5	18.892	673	12.034	800.2	12.168	645.9	10.021	509.5	14.018	900.8	24.139	1078.4	4.082	598.5	6.602	708.6	9.456	706.8	6.603	668.8	9.454	2441.8	9.992	1362.9	9.452	706.9	9.988	1557.3	9.985	1622.5	10.000	1332.2	10.029	735.6	13.336	1204.1	6.606	557	6.618	670.9	14.036	988
9.445	6104.3	7.925	506.7	22.949	692.4	9.450	537.3	9.446	2986.9	9.446	4588.2			9.446	2989.1	9.446	3074.9	9.966	5898.3	12.137	2250.9	22.854	635.9	6.601	600.1	9.446	3657.6	9.969	4556.8	9.969	3816.5	9.970	2628.4	9.970	6786	9.448	2470.9	10.697	775.4	7.929	542.5	9.974	2173.3	10.695	695.8	9.981	1892.1	12.638	1072.7	14.792	1661	9.444	7987.8	9.445	3541.7	6.591	1055.1	10.691	1539.2	9.445	3981.2	10.691	1540.1	13.326	574.9	7.926	1432.3	10.694	1301.9	9.447	7108.5	13.327	1401.6	23.027	578.2	14.799	2174.4	6.606	909.7	9.990	942.8	9.990	1050.1	9.449	6310.1	9.976	3083.3	9.977	3837.7	9.461	539.5	10.702	1007.4	12.136	1009.5	10.842	525.5	10.705	554.8	13.336	1818.9	12.132	659.8	10.003	646.1	12.135	687.4	12.127	2399.4	15.589	2634.7	14.017	2455.4	12.648	597.8	12.078	1371.4	10.881	2269.7	10.702	749.1	12.139	688.6	10.705	703	9.979	2997.5	9.988	1148.6	12.128	2232.5	12.124	1787.9	16.509	1880.3	22.947	1265.5					12.649	1270.8	22.962	517.4	15.590	4199.6	9.457	2340	9.459	2347.8	16.445	837.2	10.834	556.3	9.983	2858.3	18.896	1492.2	14.022	1986.3	22.657	639.7	10.709	964.9	12.081	1524.1	9.463	722.6	13.340	629	12.149	6987.5	15.602	1167.5	17.421	722.6	21.605	3736.6	12.650	1376.5	13.338	4186.3	16.511	629.2	14.804	1792.4			9.995	1146.8	9.453	2690.5	10.703	1589.8	9.983	2051.6	9.994	949	12.138	4465.8	10.696	1677	11.313	540.6	10.711	631.5	10.715	618.4	12.031	694.7	14.015	2372	9.988	1982.6	9.476	519.7	14.825	2757.2
9.967	4264.6	9.448	1231.9	23.169	518.3	9.968	3699.2	9.974	1616.2	9.976	2258.4			9.976	1480.1	9.975	1802.3	10.685	24116.3	12.634	3782.1	22.929	576.2	9.975	1428.5	9.974	1496.8	10.686	13625.7	10.687	12787	10.688	8889.4	10.687	24299	9.974	1739	10.835	825.7	9.445	12931.1	10.698	686.4	10.832	857.9	10.699	799.1	13.323	1948.9	15.571	5691	9.970	3737.9	9.972	1722.2	9.442	5933.8	10.826	778.9	9.972	1787.6	10.825	1156.9	14.005	1713.2	9.443	31380.8	10.829	761.3	9.971	5025.7	14.005	4406.6			15.580	5763.2	9.458	618.6	10.696	4050.3	10.696	3214	9.974	3240.6	10.702	1302.7	10.694	15461	9.976	4001.3	10.842	976.3	14.807	673.8	12.126	5121.7	10.844	649.7	14.014	4360.9	13.337	975.2	13.337	577.9	14.805	1068.6	12.649	1342.7	16.505	3261.1	14.803	8013.9	13.335	911.3	12.198	705.8	10.927	1346.4	10.839	508.2	18.887	1078.8	10.842	614.7	10.694	13766.9	10.846	727	12.648	1085.1	12.646	2055.1	17.419	2516.9	23.311	520.9					13.335	3600.4	23.157	548.1	15.805	597.9	10.003	574.5	10.009	604.5	17.351	1003.2	11.682	1109.4	10.277	757.6	19.461	655.5	14.809	2832.6	22.729	559.8	10.845	607.2	15.538	589.5	9.980	3804.5	14.023	937.7	12.653	839	16.518	2601.5	18.893	1635	22.106	538.7	13.337	5245.5	14.018	7153.7	17.414	625.6	15.588	5215.9			12.143	1164.8	9.997	819.5	10.835	917.7	10.705	1156.9	10.696	4737	12.647	662.1	10.831	955.9	12.029	1329.8	10.844	651.5	14.805	727.5	12.143	509.5	14.803	7123.6	10.873	658.1	9.990	4842.5	15.608	6774.4
10.143	536.8	9.966	5567.5			10.692	1372.1	10.688	5933.8	10.689	8838.1			10.687	5549	10.686	6689.1	10.821	18270.4	13.321	9937.4	23.176	559.8	10.695	521	10.687	7055.4	10.822	9107.8	10.823	9056.9	10.824	6313.9	10.824	15373.2	10.689	5210.5	10.877	1120.6	9.968	7219.5	10.836	2096.4	11.301	756.2	10.835	761.6	14.004	7047	16.486	7420.9	10.687	15644.1	10.688	6895.9	9.968	3131.2	12.109	862.4	10.686	7121.9	12.022	1034.1	14.790	2201.2	9.965	16086.4	12.117	1417.3	10.688	14507.1	14.789	9233.3			15.794	628.2	9.975	5412.5	10.831	2643.5	10.831	2027.6	10.691	13519.6	10.878	11654.8	10.830	9614.1	10.703	1357.7	11.304	1458.5	15.591	1262.6	13.335	2473.2	10.876	989.9	14.079	538	14.017	2180.4	14.017	1312	15.587	1650.6	13.335	7881.3	17.415	4786.8	15.006	1279.2	14.016	2347.9	16.439	502.9	11.306	605.2	11.305	770.5	19.113	603.8	11.310	525.7	10.830	9002.1	12.137	5680.5	13.336	5410.1	13.333	9205.8									14.015	8347.5			16.508	4646.4	10.699	4522.7	10.703	4384.6			12.081	9245.4	10.710	544.9	20.633	1458.3	15.015	513	22.822	739.1	11.310	1331.6	16.449	1155.1	10.705	1608.6	14.809	1781	13.340	5920.8	17.426	2465.9	19.456	688.9	22.541	619.7	13.531	510.3	14.083	1767.4	18.887	1243.4	15.803	1117			13.340	1953.6	10.695	5136.9	17.343	562.6	10.839	1149.9	10.832	3902.2	13.334	3913.9	12.029	727.8	12.137	6790.2	10.883	658.1	15.587	1467.5	12.646	1545.6	15.008	1074.1	10.901	1119.3	10.725	1354	15.823	710
10.318	839.1	10.690	2796.7			10.829	1799.1	10.823	4819.6	10.825	5672			10.823	3679.6	10.822	5478.1	11.166	505.4	13.516	794.6			10.833	1262.3	10.823	4712	11.167	616.1	11.165	726.4	11.163	611.3	11.294	2966	10.825	3919.1	11.295	1315.8	10.688	26490.1	11.298	1022.2	12.023	525.7	11.305	1076.3	14.207	821.7	17.388	15440.5	10.824	9329.2	10.824	4767.7	10.686	10291	13.325	730.9	10.824	5092.5	12.114	697.8	14.995	540.1	10.167	775.9	13.328	584.3	10.824	9556.4	14.995	1887			16.494	11551.6	10.700	1605.4	12.122	1352.1	12.119	3690.8	10.827	8751.7	11.173	1127.4	11.301	1170.2	10.841	2907.2	12.031	1242.7	16.507	1941.1	14.016	4943.2	11.303	1271.1	14.800	15251.5	14.803	6007.3	14.803	3850.2	16.502	6720.4	14.014	15338.6	22.819	606.5	15.398	866.2	14.801	4802.2	17.336	554.5	11.501	616.9	12.124	2572.5	19.450	584.3	12.029	683.4	11.306	994.1	12.647	1476.2	14.015	15433.8	13.527	905.7									14.080	908.3			17.410	6056.9	10.835	2606	10.837	3698.1			12.132	10445.2	10.884	10533.7	20.760	896.2	15.592	8518.2	22.907	692.4	12.143	1703.8	17.345	1664.7	10.843	2493.2	15.593	3276.5	14.021	13872.5			20.633	1645.5	22.751	572.2	14.017	7680.3	14.805	30758.9	19.454	654.7	16.226	767.3			14.020	4989.7	10.832	3224.1	18.896	583.7	11.311	702.2	12.030	1056.9	14.015	8294.4	12.122	1768.7	12.645	4183.5	11.312	692.6	16.504	4080.4	13.335	3634.4	15.399	823.7	11.315	1183.5	10.860	584.5	16.527	12253.6
10.688	12323.5	10.826	2311.6			11.166	526.2	11.296	874.7	11.299	657.5			12.020	1274.9	11.299	733.2	11.289	3098.7	14.000	20442			11.295	821.6	12.113	2144.3	11.291	2353.3	11.289	2723.4	11.292	1870.6	11.490	544.4	11.295	1117.4	12.023	829.5	10.824	16646.2	11.406	1009.9	12.116	3878.2	12.120	2232.7	14.789	11589.2	18.350	979.4	11.294	1659.9	11.297	801.6	10.822	6669.8	14.005	2036.8	11.296	733.4	12.638	2797.9	15.571	7024.3	10.279	1115.3	14.006	1229.3	11.169	667.1	15.178	530.8			17.397	17810.1	10.835	1069	13.332	649.9	13.332	1270.9	11.297	1826.2	11.298	2270.3	12.116	8631.9	11.174	745.2	12.139	11947.4	17.414	2146.9	14.080	1004.7	12.031	2031.7	15.005	1962.3	15.008	1115	15.008	699.8	17.405	6236.5	14.080	3528			15.585	22201.2	15.007	738.7			12.030	2465.7	13.332	4539.8	20.620	1256.3	12.128	3830.8	12.029	1056.4	13.334	5497.4	14.245	1513.2	13.848	537.1									14.218	748.8					12.650	584.9	12.125	678.6			12.407	540.3	11.083	822.6	21.604	9779.7	15.807	1310.1	22.937	622.2	12.654	528.1	18.922	4033.3	11.303	2668.8	16.510	9407.8	14.084	1045.2			20.767	1315.3	22.923	1186	14.083	1380.3	15.011	3918.7	20.634	1430.2	16.503	12853.3			14.568	551.4	12.130	849.7	21.609	1484.8	12.029	1962.6	12.131	6427.1	14.080	1329.9	12.644	1441.9	13.335	11821.3	12.029	3709.4	17.406	5749.3	14.015	7629.4	15.586	15274.8	12.032	1758.6	10.895	1513.5	17.432	17064
10.823	10014.4	11.166	713.3			11.290	2330.4	12.020	706.3	12.116	2492.4			12.114	4744.2	12.020	557.7	12.019	956.1	14.064	2411.7			12.021	1892.6	12.638	634.4	12.020	669.7	12.021	1379.1	12.020	1544.2	12.115	4879.8	11.492	717.6	12.124	10642.7	11.166	890.3	11.439	685	12.639	1666.4	18.743	578.4	14.991	2309	22.943	970.1	12.023	715.7	12.022	800.7	11.293	1502.6	14.791	4343.8	12.022	1300.2	13.325	6135.1	15.784	1463.2	10.686	59458.5	14.793	2890.6	11.292	2143.2	15.387	1313.4			18.360	1214.1	11.299	2419.4	14.012	1215.2	14.011	3451.5	11.504	592.2	11.505	3041.7	12.359	737.9	11.299	2815.1	12.488	557.7	18.888	1498.6	14.802	21301.6	12.130	13023.7	15.187	655.4	15.398	841	15.585	9352.3	18.452	744.7	14.243	1138.1			15.798	2926.5	15.583	13808.7			12.134	13175.6	14.013	8224.1	20.757	833.1	12.645	2791.9	12.120	2834.3	14.014	18895.2	14.289	620.2	14.013	18464.7									14.802	23241.6					13.337	1526.7	20.640	524.1			13.338	2092.9	11.178	1794.2	21.943	670	16.233	796.2	23.002	525.9	13.340	3434.2	22.446	637.4	11.415	577.1	17.411	10918.2	14.255	630.9			21.602	10882.4			14.222	510.7	15.191	1271.8	20.758	1167.1	16.728	516.5			14.806	11229.4	12.647	868.9	22.921	505.7	12.141	9672.5	12.645	3462.3	14.242	878.9	13.331	2717.2	13.525	728.5	12.146	3692.3	18.886	1248.3	14.080	755.1	15.663	1692.6	12.145	3551.5	11.199	556.6	18.367	786.2
10.993	648.8	11.289	3053.1			12.021	1170.1	12.114	6092.8	14.005	1671.5			12.635	4210.1	12.113	3297.4	12.112	3631.6	14.205	2097.2			12.116	12118.2	13.323	2453.7	12.112	3368.1	12.114	14271.7	12.113	8034.5	17.318	730	12.023	1464.4	12.571	727.4	11.291	4129.3	12.024	13097	13.325	6739.6	18.870	2718.2	15.178	567.9			12.112	2339.2	12.117	4171.5	12.022	981.8	14.994	896.8	12.116	5019.6	13.519	859.3	16.211	902.7	10.822	33923.2	15.573	6955.2	12.022	1365.7	15.573	28603.4					12.122	2048.9	14.797	3574.5	14.215	559.5	11.669	1311.2	12.030	2723.6	13.333	1868.5	11.415	750	12.581	655.9	19.113	518.8	15.007	2250.8	12.578	1293.3	15.397	1378.7	15.584	12982.1	15.798	1192.3	18.884	1548.1	14.284	833.6			15.997	966.3	15.798	1698.6			12.328	737.7	14.075	1136.1	21.594	9102.8	13.331	4021.6	12.645	2758.5	14.246	745.4	14.367	671.7	14.078	1783.3									15.004	3159.2					14.018	4420.9	21.603	3320.2			14.020	1157.3	11.303	3851.2	22.103	1108.3	16.508	19626.6	23.113	687.2	14.021	6445.6	25.515	541	11.523	1384.4	18.463	621.3	14.374	501.2			21.944	1051.3			14.288	528.3	15.402	2893.1	21.600	8749.6	17.407	20875.1			15.010	1929.2	13.335	2239.5			12.645	5871.7	13.333	7253.6	14.803	30040.2	14.014	8154.7	14.014	37034.4	12.217	781.8	19.457	1029.3	14.802	19356.3	15.801	2225.6	12.649	5454.4	11.313	3315	18.482	767.9
11.160	1494.3	12.021	823.2			12.114	8683.9	12.636	3178.6	14.789	3309.7			13.322	7370.8	12.637	1685.3	12.361	634	14.270	797.3			12.315	1622.9	14.002	6390	12.636	2614.9	12.346	945.8	12.347	743	17.993	564	12.116	11636.1	12.641	2483.5	12.024	1889.5	12.120	8846.8	13.519	516	19.429	1336.6	15.385	945.5			12.640	1831	12.638	2405.2	12.119	5518.9	15.571	12712.2	12.638	3168.8	14.005	17078	16.487	16290.7	11.163	1826	15.786	808.3	12.119	7853.4	15.788	5057.7					15.579	595.1	15.001	679.4	14.797	7497.8	12.026	1371.5	12.134	43668.2	14.014	4531.3	11.507	968.3	12.647	4122.9	19.446	591.6	15.187	719.1	12.647	6043.4	15.583	38063.4	15.667	2183.3	16.223	718.9	19.114	654.5	14.367	581.8			16.224	1877.8	16.224	980.5			12.645	6102.8	14.560	623.2	22.092	727.9	13.527	510	13.332	4361.5	14.562	823.8	14.562	1106.1	14.216	1023.4									15.187	965.9					14.220	711.3	22.543	893.1			14.806	2983.9	11.417	1698.5	22.323	784.8	16.732	732.9			14.086	1109.2			12.034	4026.7	18.895	823.1	14.569	902.8			22.103	1202			14.805	21844	15.590	56189.3	22.094	812.2	17.637	625.3			15.193	566.9	14.015	5962			13.334	12580.4	13.529	910	15.008	4083.5	14.217	1098.5	14.243	1681.9	12.265	531.1	20.627	1723.2	15.007	2321.2	15.997	642.3	13.338	18324.2	12.042	3331.3		
