sample,nestbox,nestbox_factor,ringnr,may_date,may_date_factor,daystohatch,breeding_stage,sex,sampletime,morning_afternoon,completepair_d1,completepair_d2,femalesampledtwice_d1,femalesampledtwice_d2,quality_chrom,lowconcentration
LI1,5,N5,90298927,11,M1,-9,Before,Female,13,afternoon,0,0,0,0,bad,0
LI10,55,N55,90298993,11,M1,-6,Before,Female,16,afternoon,0,0,0,0,bad,0
LI101,451,N451,90298614,29,M4,12,After,Female,10,morning,0,0,0,0,bad,0
LI102,6,N6,90665201,29,M4,12,After,Male,11,morning,0,0,0,0,bad,0
LI104,469,N469,90402464,29,M4,12,After,Male,11,morning,0,0,0,0,good,0
LI105,6,N6,90298510,29,M4,12,After,Female,11,morning,0,0,0,0,good,0
LI107,61,N61,90298495,29,M4,11,After,Female,13,afternoon,0,0,0,0,good,0
LI110,55,N55,90298993,29,M4,12,After,Female,13,afternoon,0,0,0,0,good,0
LI111,709,N709,90298558,29,M4,11,After,Male,14,afternoon,0,0,0,0,bad,0
LI112,713,N713,90298994,29,M4,10,After,Female,14,afternoon,1,1,1,1,good,0
LI113,713,N713,90298823,29,M4,10,After,Male,14,afternoon,1,1,0,0,good,0
LI114,709,N709,90298995,29,M4,11,After,Female,14,afternoon,0,0,0,0,good,1
LI115,30,N30,90298996,29,M4,11,After,Female,15,afternoon,1,1,1,1,good,0
LI116,30,N30,90403000,29,M4,11,After,Male,15,afternoon,1,1,0,0,good,0
LI119,1,N1,90665216,29,M4,11,After,Male,16,afternoon,0,0,0,0,good,0
LI12,713,N713,90298994,11,M1,-8,Before,Female,16,afternoon,0,0,1,1,good,0
LI122,137,N137,90298980,29,M4,10,After,Female,17,afternoon,0,0,1,0,good,0
LI123,113,N113,90665229,29,M4,12,After,Male,17,afternoon,1,1,0,0,good,0
LI124,113,N113,90298118,29,M4,12,After,Female,18,afternoon,1,1,1,1,good,0
LI125,311,N311,90402696,29,M4,11,After,Male,18,afternoon,0,0,0,0,good,0
LI126,10,N10,90665236,29,M4,10,After,Male,19,afternoon,1,1,0,0,good,0
LI127,10,N10,90298509,29,M4,10,After,Female,19,afternoon,1,1,0,0,good,0
LI128,306,N306,90298977,30,M5,11,After,Female,12,afternoon,0,0,0,0,bad,0
LI129,161,N161,90298997,30,M5,11,After,Female,13,afternoon,0,0,0,0,good,0
LI13,709,N709,90298995,11,M1,-7,Before,Female,16,afternoon,0,0,0,0,bad,0
LI130,173,N173,90298570,30,M5,11,After,Female,13,afternoon,0,0,1,0,good,1
LI131,306,N306,90298862,30,M5,11,After,Male,13,afternoon,0,0,0,0,bad,0
LI132,173,N173,90402308,30,M5,11,After,Male,13,afternoon,0,0,0,0,bad,0
LI134,557,N557,90219844,30,M5,11,After,Female,14,afternoon,1,1,0,0,good,0
LI135,557,N557,90665176,30,M5,11,After,Male,14,afternoon,1,1,0,0,good,0
LI136,151,N151,90298598,30,M5,7,After,Female,16,afternoon,0,0,0,0,bad,0
LI138,77,N77,90665189,30,M5,11,After,Male,16,afternoon,0,0,0,0,bad,0
LI139,77,N77,90298780,30,M5,11,After,Female,16,afternoon,0,0,0,0,good,1
LI14,30,N30,90298996,11,M1,-7,Before,Female,17,afternoon,0,0,1,1,good,0
LI140,75,N75,90298606,30,M5,11,After,Female,16,afternoon,1,0,0,0,good,1
LI141,3,N3,90298934,30,M5,10,After,Male,19,afternoon,0,0,0,0,bad,0
LI142,4,N4,90298160,30,M5,10,After,Male,19,afternoon,1,0,0,0,good,0
LI144,3,N3,90298973,30,M5,10,After,Female,19,afternoon,0,0,0,0,good,0
LI145,4,N4,90298501,30,M5,10,After,Female,19,afternoon,1,0,1,0,good,1
LI146,304,N304,90665243,33,M6,12,After,Male,13,afternoon,1,0,0,0,good,0
LI147,304,N304,90298497,33,M6,12,After,Female,13,afternoon,1,0,0,0,good,1
LI148,2,N2,90402148,33,M6,11,After,Female,13,afternoon,0,0,1,1,good,0
LI15,173,N173,90298570,11,M1,-8,Before,Female,17,afternoon,0,0,1,0,good,0
LI150,9,N9,90298976,33,M6,10,After,Female,13,afternoon,1,1,1,1,good,0
LI151,9,N9,90665307,33,M6,10,After,Male,13,afternoon,1,1,0,0,good,0
LI152,506,N506,90298673,33,M6,10,After,Male,14,afternoon,1,1,0,0,good,0
LI153,506,N506,90298979,33,M6,10,After,Female,14,afternoon,1,1,1,1,good,0
LI178,511,N511,90298978,25,M3,6,After,Female,13,afternoon,0,0,1,1,good,0
LI18,557,N557,90219844,11,M1,-8,Before,Female,18,afternoon,0,0,0,0,bad,0
LI19,355,N355,90298998,11,M1,-6,Before,Female,18,afternoon,0,0,0,0,bad,0
LI22,508,N508,90298709,11,M1,-7,Before,Female,18,afternoon,0,0,0,0,good,1
LI24,319,N319,90298496,11,M1,-9,Before,Female,18,afternoon,0,0,1,1,good,0
LI26,8,N8,90298607,13,M2,-5,Before,Female,9,morning,0,0,1,0,good,1
LI27,303,N303,90298975,13,M2,-7,Before,Female,10,morning,0,0,0,0,good,0
LI28,304,N304,90298497,13,M2,-8,Before,Female,10,morning,0,0,0,0,bad,0
LI29,9,N9,90298976,13,M2,-10,Before,Female,10,morning,0,0,1,1,good,0
LI31,10,N10,90298509,13,M2,-6,Before,Female,10,morning,0,0,0,0,bad,0
LI34,511,N511,90298978,13,M2,-6,Before,Female,10,morning,0,0,1,1,good,0
LI35,506,N506,90298979,13,M2,-10,Before,Female,10,morning,0,0,1,1,good,0
LI36,113,N113,90298118,13,M2,-4,Before,Female,10,morning,0,0,1,1,good,0
LI37,137,N137,90298980,13,M2,-6,Before,Female,11,morning,0,0,1,0,good,1
LI38,1,N1,90298981,13,M2,-5,Before,Female,11,morning,0,0,0,0,good,0
LI39,41,N41,90298498,13,M2,-11,Before,Female,11,morning,0,0,0,0,bad,0
LI4,715,N715,90298991,11,M1,-12,Before,Female,14,afternoon,0,0,0,0,bad,0
LI40,2,N2,90402148,13,M2,-9,Before,Female,11,morning,0,0,1,1,good,0
LI42,4,N4,90298501,13,M2,-7,Before,Female,11,morning,0,0,1,0,good,0
LI44,7,N7,90298974,13,M2,-9,Before,Female,12,afternoon,0,0,0,0,good,0
LI46,228,N228,90298982,13,M2,-11,Before,Female,12,afternoon,0,0,0,0,good,0
LI48,451,N451,90298614,13,M2,-4,Before,Female,12,afternoon,0,0,0,0,good,0
LI54,720,N720,90298983,13,M2,,Before,Female,16,afternoon,0,0,0,0,good,0
LI56,123,N123,90298985,13,M2,,Before,Female,16,afternoon,0,0,0,0,good,0
LI59,469,N469,90298485,13,M2,-4,Before,Female,17,afternoon,0,0,0,0,good,0
LI6,21,N21,90298992,11,M1,-4,Before,Female,14,afternoon,0,0,0,0,good,0
LI66,514,N514,90298755,25,M3,8,After,Female,10,morning,0,0,0,0,good,0
LI67,514,N514,90298642,25,M3,8,After,Male,11,morning,0,0,0,0,bad,0
LI68,319,N319,90298496,25,M3,5,After,Female,11,morning,1,1,1,1,good,0
LI69,522,N522,90299000,25,M3,8,After,Female,11,morning,0,0,0,0,bad,0
LI7,75,N75,90298606,11,M1,-8,Before,Female,15,afternoon,0,0,0,0,bad,0
LI70,513,N513,90402822,25,M3,8,After,Male,11,morning,1,0,0,0,good,1
LI72,513,N513,90402011,25,M3,8,After,Female,11,morning,1,0,0,0,good,1
LI73,522,N522,90298987,25,M3,8,After,Male,11,morning,0,0,0,0,good,0
LI74,319,N319,90298988,25,M3,5,After,Male,12,afternoon,1,1,0,0,good,0
LI75,316,N316,90298479,25,M3,8,After,Female,12,afternoon,0,0,0,0,good,0
LI79,508,N508,90298989,25,M3,7,After,Male,13,afternoon,0,0,0,0,bad,0
LI8,71,N71,90402561,11,M1,-4,Before,Female,15,afternoon,0,0,0,0,bad,0
LI81,505,N505,90298990,25,M3,10,After,Male,13,afternoon,1,1,0,0,good,0
LI82,505,N505,90298001,25,M3,10,After,Female,13,afternoon,1,1,0,0,good,0
LI83,502,N502,90402928,25,M3,7,After,Female,14,afternoon,1,1,0,0,good,0
LI84,502,N502,90402624,25,M3,7,After,Male,14,afternoon,1,1,0,0,good,0
LI85,355,N355,90298724,25,M3,8,After,Male,14,afternoon,1,0,0,0,good,0
LI86,355,N355,90298998,25,M3,8,After,Female,14,afternoon,1,0,0,0,good,1
LI87,325,N325,90298055,25,M3,6,After,Male,14,afternoon,0,0,0,0,good,0
LI89,21,N21,90298992,25,M3,10,After,Female,16,afternoon,0,0,0,0,bad,0
LI91,8,N8,90665098,25,M3,7,After,Male,16,afternoon,1,1,0,0,good,0
LI92,8,N8,90298607,25,M3,7,After,Female,16,afternoon,1,1,1,0,good,0
LI93,471,N471,90298483,25,M3,5,After,Female,17,afternoon,1,0,0,0,good,1
LI94,471,N471,90665099,25,M3,5,After,Male,17,afternoon,1,0,0,0,good,1
LI95,71,N71,90402561,25,M3,10,After,Female,18,afternoon,0,0,0,0,good,1
LI96,151,N151,90219275,30,M5,7,After,Male,16,afternoon,0,0,0,0,good,0
LI97,75,N75,90402819,30,M5,11,After,Male,17,afternoon,1,0,0,0,good,0
LI98,41,N41,90298498,30,M5,6,After,Female,17,afternoon,0,0,0,0,good,1
